IMG_ID,GT_LAT,GT_LON,PRED_LAT,PRED_LON,ERROR_KM
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,-64.764404,28.40803,-16.564861,4606.34898815806
1000304467_1a75a200b1_1296_78841376@N00.jpg,32.325436,-64.764404,20.449371,-86.99318,2569.745484633317
1001048550_8e4b47d165_1051_78841376@N00.jpg,32.325436,-64.764404,43.50828,7.045223,6224.842574411283
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,122.390356,29.979637,122.38992,0.40072321789720056
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,46.478536,30.758714,47.411633,28.369884,208.9127248872474
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,30.758714,50.450745,30.525017,442.0247996184326
101220879_0a1be45b79_33_24311489@N00.jpg,42.249915,-87.82711,36.73685,-96.18667,942.7497072964981
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,62.140088,6.074967,44.48077,-79.519554,5540.7521059671335
1019846234_5e471a10e2_1155_97522422@N00.jpg,42.197494,44.693069,-28.55359,-54.55535,12808.643942471434
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,-0.400997,-90.704498,-0.572052,-90.15878,63.589692643414715
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-73.962262,41.827892,-71.405396,241.78167349007197
1029739337_ff06001d12_1361_7132415@N03.jpg,-0.292509,-90.532493,-0.399365,-90.29302,29.157948114021753
103385471_f54982a801_29_73293249@N00.jpg,46.006873,7.279987,68.203896,13.479012,2493.502995213805
103398485_db45794d93_36_73293249@N00.jpg,46.21488,7.049309,46.993996,10.80706,299.8234282235531
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,7.399454,44.847668,-0.5085,631.486253583621
103433117_266c57c2e6_29_73293249@N00.jpg,46.167286,7.099698,46.517,12.005481,378.5248604299707
103433770_9b651cfd20_32_73293249@N00.jpg,46.167286,7.099698,43.049698,77.032524,5363.4741015574455
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,-0.140655,51.507435,-0.076239,4.5019157991048475
103457638_224c119b11_30_73293249@N00.jpg,45.999982,7.298584,45.99571,7.008934,22.37919226922233
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,7.209918,44.95652,6.879189,127.592837285129
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,-73.94892,38.04721,-84.49765,956.2593869572279
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,-79.387153,43.647255,-79.382744,0.6440333912993944
103574519_62331b624f_24_73293249@N00.jpg,43.642423,-79.387153,43.647953,-79.383545,0.6798322688434256
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,-79.387153,43.64249,-79.386856,0.02487769323112076
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,-79.079509,43.089794,-79.07066,0.8756302764239453
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,-74.01206,40.756855,-73.988106,5.432989296863496
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,16.935553,48.228283,15.332976,118.73427191968733
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,-2.27992,51.850166,-0.544703,140.3813310585111
103910409_51606239db_42_11114422@N00.jpg,51.195697,-2.27992,51.850166,-0.544703,140.3813310585111
104122769_f122c548dc_40_19355699@N00.jpg,-16.663606,145.563537,-33.843098,151.24063,1992.7291314859865
1041241079_904c456418_1430_7132415@N03.jpg,-1.382083,-78.432769,43.350056,-4.052013,8859.837137907345
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,151.209039,-33.857246,151.21465,0.6887412676780342
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,151.209039,-33.857445,151.21487,0.6900624735195311
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,-0.967437,-77.763977,10.281868,-84.04478,1430.947127041017
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,151.209039,-33.85183,151.21074,1.0680241654278024
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,151.209039,-33.870495,151.20667,1.0427162645395973
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,151.209039,-33.86981,151.20763,0.9519199258927933
104138228_eac9608bce_34_19355699@N00.jpg,-36.843876,174.7654,-36.82295,174.73352,3.6696719342293225
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,106.833114,49.464832,105.98648,183.32995243168173
1044041591_512737f6a3_1182_9729483@N02.jpg,39.948972,-75.150008,41.30913,-72.92821,240.8797747594804
104419192_8551684362_41_64825499@N00.jpg,51.508168,-0.076035,51.390854,0.501299,42.08046764461344
104419793_26fe6ba2a3_39_64825499@N00.jpg,51.508168,-0.076035,50.645973,4.420988,328.406324793912
1051458737_dc88781e19_1257_50435419@N00.jpg,46.547586,-87.378902,46.81263,-89.7765,185.25836898262915
1052934673_018d08d79c_1247_89904893@N00.jpg,51.210297,-2.643113,51.064938,-1.797444,61.175402019762494
1054676623_3278c97053_1242_70323761@N00.jpg,40.763169,-73.945257,40.705368,-74.00073,7.947432207851573
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,43.345154,11.293945,43.722103,10.39666,83.59893865058591
1055596489_76a46df552_1047_52057668@N00.jpg,43.345154,11.293945,41.383682,2.180008,779.4428949094009
